id,cuisine
18009,russian
28583,southern_us
41580,italian
29752,cajun_creole
35687,british
38527,british
19666,brazilian
41217,filipino
28753,mexican
22659,irish
21749,cajun_creole
44967,greek
42969,chinese
44883,italian
20827,chinese
23196,mexican
35387,mexican
33780,british
19001,mexican
16526,jamaican
42455,chinese
47453,brazilian
42478,greek
11885,vietnamese
16585,french
29639,southern_us
26245,vietnamese
38516,korean
47520,spanish
26212,mexican
23696,spanish
14926,thai
13292,spanish
27346,japanese
1384,indian
15959,brazilian
42297,french
46235,japanese
21181,filipino
9809,spanish
22982,spanish
23120,chinese
26743,irish
12741,mexican
7050,italian
22437,mexican
14760,spanish
10649,jamaican
48065,vietnamese
39931,filipino
32935,italian
40142,thai
19103,moroccan
38267,filipino
30512,italian
3324,chinese
26197,moroccan
384,japanese
47230,thai
39748,cajun_creole
41038,russian
24878,mexican
42624,british
45706,korean
8874,mexican
23878,french
47234,russian
24075,thai
46323,spanish
22562,brazilian
11358,irish
9201,indian
38620,thai
47638,vietnamese
21238,indian
11053,chinese
46602,japanese
13937,mexican
21876,mexican
20798,greek
24381,vietnamese
48178,spanish
45832,french
27560,korean
23247,british
28975,moroccan
43230,mexican
9126,greek
13021,jamaican
28194,chinese
25617,japanese
36125,italian
16454,mexican
1607,korean
38526,moroccan
18755,indian
12035,spanish
16047,greek
15419,italian
16971,indian
31459,brazilian
27888,russian
13900,spanish
12376,indian
1658,korean
29431,jamaican
22290,italian
28464,italian
37953,korean
20814,thai
35987,mexican
2329,italian
43237,cajun_creole
30647,british
16675,italian
37722,mexican
32438,korean
20287,italian
43296,moroccan
6237,greek
48560,korean
20810,mexican
34951,french
31850,filipino
47745,southern_us
37815,vietnamese
9872,italian
5592,russian
27411,chinese
39320,irish
40247,japanese
19792,mexican
40754,chinese
14365,jamaican
14468,italian
47563,mexican
19611,italian
7163,cajun_creole
43069,indian
27505,chinese
36500,thai
25932,spanish
817,italian
8471,french
48250,indian
9413,southern_us
12097,cajun_creole
8416,cajun_creole
5892,greek
676,southern_us
47015,filipino
21891,cajun_creole
14630,french
36195,japanese
25981,mexican
39964,russian
28298,indian
31954,mexican
26620,southern_us
14932,cajun_creole
47426,southern_us
1038,greek
8077,russian
37141,british
45447,french
9624,southern_us
45589,irish
7265,mexican
31844,southern_us
13046,greek
9867,french
29184,moroccan
34783,french
2823,vietnamese
18932,mexican
11112,mexican
12859,thai
9365,spanish
44516,irish
18193,british
46545,cajun_creole
9900,italian
14815,indian
39690,cajun_creole
22193,indian
11739,french
27311,vietnamese
36920,indian
7861,korean
29248,moroccan
43142,mexican
7574,southern_us
8610,mexican
989,italian
46926,mexican
40816,moroccan
39726,brazilian
42229,southern_us
10474,greek
22140,mexican
31985,indian
46165,korean
20860,italian
42494,italian
15968,irish
20484,vietnamese
26661,spanish
47182,mexican
22528,irish
3861,thai
1203,french
45040,british
33287,indian
10097,jamaican
42005,russian
12423,spanish
39613,brazilian
30276,brazilian
18686,brazilian
3031,french
40093,italian
182,indian
46591,mexican
4092,chinese
13722,cajun_creole
44575,cajun_creole
14989,italian
13270,british
25529,italian
12140,indian
23127,mexican
13523,italian
41270,italian
8362,thai
11735,southern_us
27935,cajun_creole
28198,mexican
37765,indian
33856,filipino
30198,greek
42521,italian
21567,cajun_creole
36995,cajun_creole
24967,thai
45002,british
48925,mexican
36914,indian
2280,russian
14729,southern_us
4594,moroccan
2237,brazilian
45631,moroccan
2317,vietnamese
23079,jamaican
29333,korean
48066,jamaican
15737,cajun_creole
30580,jamaican
1119,italian
46336,moroccan
5026,cajun_creole
10749,chinese
31020,mexican
30805,japanese
27653,italian
35060,southern_us
39174,brazilian
49509,indian
31784,brazilian
31408,spanish
36029,indian
11045,chinese
6561,irish
26992,brazilian
31179,southern_us
35099,southern_us
11018,thai
17930,mexican
21302,russian
46352,thai
25132,mexican
7010,mexican
25850,irish
19601,jamaican
7935,italian
34994,filipino
25113,italian
45523,mexican
34977,southern_us
7124,spanish
27514,moroccan
27178,mexican
47880,korean
29197,southern_us
16347,southern_us
20333,mexican
29112,korean
7510,british
13897,thai
35699,moroccan
20520,mexican
38920,mexican
21775,indian
37475,korean
40131,cajun_creole
1939,mexican
48268,mexican
34815,moroccan
13797,southern_us
39063,vietnamese
29064,thai
26896,russian
29477,southern_us
3352,russian
4966,mexican
7316,moroccan
23879,mexican
16525,mexican
32843,brazilian
39574,jamaican
32737,mexican
44788,filipino
28772,italian
34189,spanish
33719,southern_us
25846,indian
1423,indian
4328,thai
579,italian
5219,japanese
2314,moroccan
31143,moroccan
13409,chinese
3281,greek
15804,vietnamese
40835,cajun_creole
39262,korean
37013,indian
14807,jamaican
47956,spanish
2580,mexican
13720,italian
23008,korean
5951,filipino
39312,mexican
6176,jamaican
17617,jamaican
57,mexican
43422,indian
49403,british
44751,french
21865,southern_us
26584,cajun_creole
39355,korean
14038,southern_us
45396,indian
49715,mexican
41515,thai
30445,spanish
4090,southern_us
17207,vietnamese
40376,brazilian
19398,mexican
22347,vietnamese
49671,mexican
40854,italian
926,japanese
47919,filipino
20571,southern_us
18866,southern_us
48742,mexican
14577,brazilian
29481,southern_us
40996,greek
34470,moroccan
31147,mexican
35932,italian
27221,italian
48301,russian
29925,korean
48640,thai
22873,brazilian
10565,chinese
15509,greek
37569,southern_us
13306,japanese
40474,indian
15182,indian
8609,vietnamese
32168,korean
1125,mexican
25244,cajun_creole
46889,thai
13841,vietnamese
47135,moroccan
29036,indian
43533,japanese
41631,british
22124,cajun_creole
18836,greek
35695,russian
5141,indian
41894,moroccan
4972,italian
34195,vietnamese
14183,irish
15188,thai
8734,moroccan
30946,spanish
5588,cajun_creole
49554,british
1270,indian
1259,vietnamese
45986,greek
22351,french
300,mexican
9278,southern_us
10021,indian
17014,french
40855,southern_us
18362,korean
16292,korean
29924,russian
47174,cajun_creole
4856,italian
15417,spanish
19875,russian
42228,spanish
36264,spanish
14571,french
23496,chinese
43879,mexican
23431,indian
5499,italian
247,filipino
48795,indian
47113,moroccan
489,jamaican
13036,japanese
4838,italian
40630,japanese
17576,moroccan
29972,japanese
8123,japanese
35918,mexican
42669,cajun_creole
24632,russian
35740,mexican
45670,russian
28041,filipino
46688,mexican
10309,thai
15367,indian
30562,cajun_creole
47151,moroccan
47300,vietnamese
31200,mexican
5749,japanese
41807,russian
13990,mexican
23572,greek
872,russian
38085,korean
5248,russian
26309,indian
26880,mexican
41559,jamaican
8059,brazilian
26041,vietnamese
30019,indian
7207,indian
30309,russian
2092,french
8023,chinese
4016,southern_us
24631,italian
35068,british
8523,mexican
28463,italian
8629,spanish
43829,jamaican
22129,french
34505,chinese
38200,filipino
36513,vietnamese
32187,italian
7788,southern_us
31130,vietnamese
40483,southern_us
2224,southern_us
14143,japanese
22889,french
17406,thai
10451,thai
19844,cajun_creole
23416,southern_us
33874,cajun_creole
39951,mexican
41361,mexican
44659,mexican
8836,french
21709,indian
22993,thai
39191,southern_us
17182,mexican
20507,korean
42397,filipino
18897,italian
3797,thai
11041,brazilian
807,thai
3514,spanish
12936,korean
15050,southern_us
43377,cajun_creole
10471,chinese
30721,mexican
14333,japanese
6260,chinese
7712,brazilian
19048,french
21455,mexican
18575,southern_us
47647,russian
35947,mexican
14499,italian
43525,british
5723,cajun_creole
48497,greek
43822,french
525,cajun_creole
30594,mexican
47948,russian
2099,moroccan
43863,mexican
24711,vietnamese
15230,japanese
21680,indian
36218,mexican
41622,filipino
34809,mexican
5110,russian
27214,greek
34803,spanish
36822,greek
6912,vietnamese
20373,british
29157,italian
6327,indian
35502,spanish
8305,indian
35598,french
48538,indian
49358,indian
44506,mexican
39146,indian
29270,russian
20560,cajun_creole
24169,cajun_creole
41537,greek
10431,cajun_creole
31517,irish
34049,vietnamese
26964,thai
49655,greek
9101,french
30377,italian
7046,indian
47969,mexican
18971,french
38891,southern_us
29506,thai
40305,cajun_creole
21255,chinese
15578,southern_us
24894,british
32089,vietnamese
46097,filipino
40982,french
12543,spanish
38366,southern_us
32925,greek
17506,vietnamese
48389,jamaican
41804,korean
9961,vietnamese
24939,indian
39599,russian
45838,mexican
48875,indian
25531,chinese
3009,filipino
31965,southern_us
16901,greek
13370,italian
2954,vietnamese
40353,italian
8207,british
10933,chinese
38206,indian
14110,brazilian
19128,greek
32616,indian
27748,mexican
31858,french
20510,mexican
17602,thai
35665,japanese
46589,indian
8178,mexican
34880,moroccan
42527,mexican
29682,irish
32166,vietnamese
30343,chinese
15385,cajun_creole
18372,chinese
29211,mexican
23269,indian
4561,vietnamese
27365,mexican
49032,japanese
22064,greek
12060,moroccan
47834,southern_us
25815,chinese
34036,vietnamese
19326,filipino
44078,thai
31090,italian
17485,moroccan
708,irish
5350,filipino
29754,russian
18309,italian
46871,spanish
27300,french
41890,mexican
49548,southern_us
11392,french
1354,thai
48819,southern_us
19097,jamaican
42113,greek
24060,vietnamese
25849,spanish
4543,cajun_creole
25306,jamaican
41966,italian
48719,vietnamese
48191,vietnamese
8826,irish
42703,mexican
16083,greek
26613,brazilian
28088,italian
39965,indian
36239,moroccan
4322,moroccan
9951,french
3045,mexican
28585,moroccan
39841,italian
