id,cuisine
18009,russian
28583,southern_us
41580,moroccan
29752,southern_us
35687,british
38527,british
19666,brazilian
41217,korean
28753,mexican
22659,irish
21749,cajun_creole
44967,greek
42969,brazilian
44883,cajun_creole
20827,jamaican
23196,french
35387,irish
33780,brazilian
19001,mexican
16526,korean
42455,korean
47453,brazilian
42478,moroccan
11885,vietnamese
16585,french
29639,russian
26245,vietnamese
38516,korean
47520,british
26212,korean
23696,jamaican
14926,thai
13292,moroccan
27346,japanese
1384,korean
15959,brazilian
42297,russian
46235,jamaican
21181,southern_us
9809,brazilian
22982,brazilian
23120,filipino
26743,irish
12741,mexican
7050,moroccan
22437,mexican
14760,spanish
10649,thai
48065,vietnamese
39931,korean
32935,jamaican
40142,thai
19103,spanish
38267,korean
30512,italian
3324,vietnamese
26197,russian
384,japanese
47230,chinese
39748,jamaican
41038,russian
24878,mexican
42624,brazilian
45706,korean
8874,mexican
23878,moroccan
47234,filipino
24075,vietnamese
46323,spanish
22562,brazilian
11358,russian
9201,indian
38620,vietnamese
47638,thai
21238,indian
11053,korean
46602,japanese
13937,mexican
21876,cajun_creole
20798,greek
24381,filipino
48178,filipino
45832,moroccan
27560,vietnamese
23247,irish
28975,jamaican
43230,greek
9126,jamaican
13021,brazilian
28194,vietnamese
25617,british
36125,italian
16454,mexican
1607,korean
38526,russian
18755,brazilian
12035,spanish
16047,greek
15419,italian
16971,indian
31459,brazilian
27888,russian
13900,jamaican
12376,vietnamese
1658,korean
29431,brazilian
22290,russian
28464,french
37953,korean
20814,filipino
35987,cajun_creole
2329,italian
43237,spanish
30647,russian
16675,russian
37722,mexican
32438,korean
20287,vietnamese
43296,moroccan
6237,greek
48560,korean
20810,moroccan
34951,french
31850,filipino
47745,cajun_creole
37815,vietnamese
9872,italian
5592,russian
27411,vietnamese
39320,irish
40247,russian
19792,spanish
40754,british
14365,jamaican
14468,mexican
47563,spanish
19611,irish
7163,cajun_creole
43069,brazilian
27505,korean
36500,vietnamese
25932,jamaican
817,italian
8471,russian
48250,brazilian
9413,spanish
12097,cajun_creole
8416,cajun_creole
5892,greek
676,brazilian
47015,korean
21891,greek
14630,moroccan
36195,korean
25981,spanish
39964,brazilian
28298,indian
31954,cajun_creole
26620,spanish
14932,cajun_creole
47426,southern_us
1038,russian
8077,russian
37141,irish
45447,british
9624,irish
45589,irish
7265,greek
31844,british
13046,greek
9867,cajun_creole
29184,moroccan
34783,spanish
2823,vietnamese
18932,mexican
11112,mexican
12859,vietnamese
9365,irish
44516,korean
18193,british
46545,jamaican
9900,cajun_creole
14815,thai
39690,cajun_creole
22193,irish
11739,british
27311,korean
36920,indian
7861,brazilian
29248,moroccan
43142,mexican
7574,spanish
8610,mexican
989,italian
46926,mexican
40816,moroccan
39726,korean
42229,indian
10474,moroccan
22140,mexican
31985,indian
46165,korean
20860,greek
42494,italian
15968,filipino
20484,filipino
26661,brazilian
47182,cajun_creole
22528,russian
3861,thai
1203,russian
45040,irish
33287,indian
10097,jamaican
42005,korean
12423,spanish
39613,brazilian
30276,brazilian
18686,brazilian
3031,irish
40093,italian
182,british
46591,spanish
4092,filipino
13722,brazilian
44575,greek
14989,french
13270,british
25529,italian
12140,moroccan
23127,mexican
13523,italian
41270,irish
8362,thai
11735,cajun_creole
27935,cajun_creole
28198,mexican
37765,indian
33856,filipino
30198,irish
42521,spanish
21567,russian
36995,russian
24967,thai
45002,russian
48925,french
36914,indian
2280,russian
14729,cajun_creole
4594,jamaican
2237,brazilian
45631,moroccan
2317,jamaican
23079,jamaican
29333,korean
48066,brazilian
15737,russian
30580,jamaican
1119,filipino
46336,moroccan
5026,cajun_creole
10749,chinese
31020,brazilian
30805,irish
27653,french
35060,southern_us
39174,brazilian
49509,french
31784,russian
31408,spanish
36029,jamaican
11045,brazilian
6561,russian
26992,brazilian
31179,cajun_creole
35099,spanish
11018,vietnamese
17930,mexican
21302,greek
46352,thai
25132,mexican
7010,brazilian
25850,irish
19601,cajun_creole
7935,greek
34994,filipino
25113,french
45523,italian
34977,cajun_creole
7124,spanish
27514,moroccan
27178,mexican
47880,korean
29197,spanish
16347,irish
20333,spanish
29112,korean
7510,russian
13897,jamaican
35699,moroccan
20520,mexican
38920,brazilian
21775,indian
37475,korean
40131,french
1939,mexican
48268,cajun_creole
34815,filipino
13797,spanish
39063,vietnamese
29064,thai
26896,russian
29477,greek
3352,russian
4966,mexican
7316,jamaican
23879,mexican
16525,greek
32843,brazilian
39574,brazilian
32737,spanish
44788,filipino
28772,moroccan
34189,jamaican
33719,cajun_creole
25846,indian
1423,japanese
4328,vietnamese
579,southern_us
5219,japanese
2314,brazilian
31143,moroccan
13409,mexican
3281,moroccan
15804,filipino
40835,southern_us
39262,korean
37013,vietnamese
14807,brazilian
47956,irish
2580,mexican
13720,french
23008,vietnamese
5951,jamaican
39312,cajun_creole
6176,jamaican
17617,brazilian
57,mexican
43422,indian
49403,russian
44751,russian
21865,irish
26584,cajun_creole
39355,korean
14038,southern_us
45396,jamaican
49715,cajun_creole
41515,thai
30445,brazilian
4090,irish
17207,vietnamese
40376,russian
19398,mexican
22347,chinese
49671,mexican
40854,greek
926,japanese
47919,filipino
20571,mexican
18866,southern_us
48742,mexican
14577,brazilian
29481,irish
40996,jamaican
34470,moroccan
31147,mexican
35932,french
27221,italian
48301,russian
29925,korean
48640,thai
22873,brazilian
10565,cajun_creole
15509,greek
37569,brazilian
13306,korean
40474,moroccan
15182,russian
8609,filipino
32168,korean
1125,brazilian
25244,russian
46889,vietnamese
13841,filipino
47135,moroccan
29036,indian
43533,vietnamese
41631,jamaican
22124,cajun_creole
18836,greek
35695,russian
5141,indian
41894,moroccan
4972,italian
34195,korean
14183,filipino
15188,japanese
8734,brazilian
30946,spanish
5588,cajun_creole
49554,british
1270,moroccan
1259,vietnamese
45986,moroccan
22351,french
300,mexican
9278,british
10021,indian
17014,russian
40855,russian
18362,korean
16292,korean
29924,russian
47174,cajun_creole
4856,italian
15417,spanish
19875,russian
42228,moroccan
36264,irish
14571,greek
23496,jamaican
43879,mexican
23431,indian
5499,cajun_creole
247,russian
48795,indian
47113,irish
489,brazilian
13036,korean
4838,chinese
40630,japanese
17576,moroccan
29972,japanese
8123,japanese
35918,mexican
42669,cajun_creole
24632,russian
35740,mexican
45670,russian
28041,filipino
46688,vietnamese
10309,vietnamese
15367,indian
30562,irish
47151,moroccan
47300,vietnamese
31200,mexican
5749,korean
41807,russian
13990,mexican
23572,greek
872,russian
38085,korean
5248,korean
26309,indian
26880,mexican
41559,brazilian
8059,brazilian
26041,vietnamese
30019,moroccan
7207,moroccan
30309,russian
2092,irish
8023,korean
4016,jamaican
24631,french
35068,russian
8523,spanish
28463,moroccan
8629,brazilian
43829,jamaican
22129,british
34505,thai
38200,korean
36513,vietnamese
32187,greek
7788,irish
31130,brazilian
40483,italian
2224,cajun_creole
14143,japanese
22889,indian
17406,thai
10451,filipino
19844,cajun_creole
23416,greek
33874,cajun_creole
39951,cajun_creole
41361,mexican
44659,moroccan
8836,moroccan
21709,indian
22993,brazilian
39191,southern_us
17182,mexican
20507,korean
42397,filipino
18897,spanish
3797,thai
11041,brazilian
807,filipino
3514,spanish
12936,korean
15050,irish
43377,cajun_creole
10471,thai
30721,mexican
14333,japanese
6260,chinese
7712,korean
19048,french
21455,mexican
18575,cajun_creole
47647,brazilian
35947,mexican
14499,italian
43525,british
5723,greek
48497,greek
43822,mexican
525,irish
30594,mexican
47948,brazilian
2099,jamaican
43863,mexican
24711,vietnamese
15230,japanese
21680,indian
36218,mexican
41622,filipino
34809,cajun_creole
5110,russian
27214,moroccan
34803,irish
36822,moroccan
6912,vietnamese
20373,british
29157,british
6327,indian
35502,spanish
8305,southern_us
35598,spanish
48538,vietnamese
49358,japanese
44506,mexican
39146,japanese
29270,russian
20560,filipino
24169,brazilian
41537,irish
10431,moroccan
31517,brazilian
34049,filipino
26964,korean
49655,greek
9101,russian
30377,italian
7046,indian
47969,mexican
18971,russian
38891,southern_us
29506,vietnamese
40305,greek
21255,spanish
15578,spanish
24894,brazilian
32089,filipino
46097,filipino
40982,french
12543,spanish
38366,southern_us
32925,spanish
17506,vietnamese
48389,jamaican
41804,korean
9961,vietnamese
24939,indian
39599,russian
45838,mexican
48875,japanese
25531,chinese
3009,brazilian
31965,southern_us
16901,greek
13370,french
2954,korean
40353,italian
8207,indian
10933,korean
38206,indian
14110,brazilian
19128,greek
32616,indian
27748,mexican
31858,french
20510,mexican
17602,vietnamese
35665,filipino
46589,japanese
8178,mexican
34880,moroccan
42527,spanish
29682,filipino
32166,vietnamese
30343,russian
15385,cajun_creole
18372,thai
29211,greek
23269,filipino
4561,vietnamese
27365,mexican
49032,japanese
22064,moroccan
12060,korean
47834,southern_us
25815,jamaican
34036,korean
19326,chinese
44078,thai
31090,japanese
17485,russian
708,brazilian
5350,filipino
29754,russian
18309,french
46871,russian
27300,russian
41890,mexican
49548,southern_us
11392,russian
1354,thai
48819,southern_us
19097,jamaican
42113,greek
24060,vietnamese
25849,spanish
4543,cajun_creole
25306,brazilian
41966,italian
48719,brazilian
48191,vietnamese
8826,brazilian
