id,cuisine
18009,british
28583,italian
41580,french
29752,brazilian
35687,italian
38527,mexican
19666,spanish
41217,chinese
28753,mexican
22659,moroccan
21749,italian
44967,french
42969,indian
44883,italian
20827,british
23196,mexican
35387,french
33780,italian
19001,chinese
16526,cajun_creole
42455,japanese
47453,japanese
42478,british
11885,chinese
16585,brazilian
29639,french
26245,mexican
38516,chinese
47520,italian
26212,chinese
23696,mexican
14926,greek
13292,japanese
27346,chinese
1384,chinese
15959,indian
42297,russian
46235,indian
21181,indian
9809,cajun_creole
22982,cajun_creole
23120,indian
26743,italian
12741,mexican
7050,greek
22437,french
14760,italian
10649,french
48065,japanese
39931,chinese
32935,italian
40142,thai
19103,mexican
38267,italian
30512,italian
3324,chinese
26197,british
384,japanese
47230,chinese
39748,brazilian
41038,french
24878,mexican
42624,mexican
45706,chinese
8874,mexican
23878,cajun_creole
47234,chinese
24075,korean
46323,italian
22562,italian
11358,irish
9201,indian
38620,japanese
47638,british
21238,indian
11053,japanese
46602,indian
13937,mexican
21876,southern_us
20798,chinese
24381,chinese
48178,greek
45832,italian
27560,japanese
23247,french
28975,french
43230,italian
9126,brazilian
13021,cajun_creole
28194,mexican
25617,mexican
36125,italian
16454,mexican
1607,moroccan
38526,moroccan
18755,chinese
12035,greek
16047,italian
15419,italian
16971,indian
31459,irish
27888,southern_us
13900,italian
12376,southern_us
1658,irish
29431,french
22290,mexican
28464,italian
37953,chinese
20814,cajun_creole
35987,japanese
2329,italian
43237,mexican
30647,french
16675,indian
37722,mexican
32438,chinese
20287,filipino
43296,indian
6237,italian
48560,korean
20810,mexican
34951,french
31850,chinese
47745,mexican
37815,greek
9872,italian
5592,french
27411,italian
39320,southern_us
40247,irish
19792,mexican
40754,spanish
14365,mexican
14468,italian
47563,mexican
19611,french
7163,italian
43069,chinese
27505,korean
36500,french
25932,italian
817,italian
8471,chinese
48250,southern_us
9413,thai
12097,cajun_creole
8416,brazilian
5892,chinese
676,italian
47015,italian
21891,mexican
14630,italian
36195,korean
25981,mexican
39964,french
28298,indian
31954,italian
26620,mexican
14932,italian
47426,chinese
1038,french
8077,russian
37141,irish
45447,french
9624,mexican
45589,italian
7265,italian
31844,southern_us
13046,italian
9867,italian
29184,italian
34783,italian
2823,brazilian
18932,mexican
11112,mexican
12859,mexican
9365,greek
44516,chinese
18193,russian
46545,brazilian
9900,italian
14815,cajun_creole
39690,italian
22193,french
11739,french
27311,mexican
36920,indian
7861,french
29248,mexican
43142,mexican
7574,jamaican
8610,mexican
989,french
46926,mexican
40816,indian
39726,chinese
42229,southern_us
10474,italian
22140,british
31985,indian
46165,japanese
20860,indian
42494,italian
15968,cajun_creole
20484,thai
26661,mexican
47182,mexican
22528,italian
3861,mexican
1203,brazilian
45040,french
33287,indian
10097,french
42005,chinese
12423,spanish
39613,cajun_creole
30276,italian
18686,mexican
3031,french
40093,greek
182,italian
46591,mexican
4092,chinese
13722,southern_us
44575,italian
14989,greek
13270,irish
25529,greek
12140,indian
23127,mexican
13523,italian
41270,italian
8362,indian
11735,italian
27935,italian
28198,mexican
37765,mexican
33856,moroccan
30198,greek
42521,british
21567,italian
36995,greek
24967,thai
45002,italian
48925,chinese
36914,french
2280,southern_us
14729,brazilian
4594,mexican
2237,indian
45631,cajun_creole
2317,chinese
23079,french
29333,thai
48066,french
15737,italian
30580,mexican
1119,italian
46336,indian
5026,greek
10749,indian
31020,mexican
30805,cajun_creole
27653,chinese
35060,italian
39174,italian
49509,italian
31784,french
31408,spanish
36029,filipino
11045,irish
6561,korean
26992,filipino
31179,cajun_creole
35099,mexican
11018,chinese
17930,mexican
21302,greek
46352,italian
25132,italian
7010,filipino
25850,russian
19601,cajun_creole
7935,italian
34994,chinese
25113,italian
45523,cajun_creole
34977,spanish
7124,french
27514,french
27178,mexican
47880,jamaican
29197,mexican
16347,filipino
20333,mexican
29112,chinese
7510,italian
13897,mexican
35699,indian
20520,greek
38920,japanese
21775,indian
37475,chinese
40131,cajun_creole
1939,mexican
48268,cajun_creole
34815,french
13797,italian
39063,chinese
29064,chinese
26896,italian
29477,indian
3352,italian
4966,italian
7316,italian
23879,mexican
16525,italian
32843,french
39574,chinese
32737,mexican
44788,filipino
28772,italian
34189,mexican
33719,italian
25846,indian
1423,indian
4328,vietnamese
579,russian
5219,indian
2314,cajun_creole
31143,greek
13409,japanese
3281,greek
15804,italian
40835,cajun_creole
39262,japanese
37013,french
14807,mexican
47956,italian
2580,mexican
13720,irish
23008,japanese
5951,greek
39312,mexican
6176,british
17617,chinese
57,mexican
43422,indian
49403,french
44751,british
21865,mexican
26584,cajun_creole
39355,filipino
14038,southern_us
45396,indian
49715,mexican
41515,thai
30445,french
4090,mexican
17207,brazilian
40376,italian
19398,greek
22347,japanese
49671,mexican
40854,greek
926,chinese
47919,mexican
20571,italian
18866,french
48742,mexican
14577,italian
